SOURCE ,DESTINATION,DISTANCE ,MINI,SEDAN,ERTIGA,INNOVA
ADANI POWER PLANT,AHMEDABAD AIRPORT ,410,5000,5500,7000,16500
TATA SOLAR,AHMEDABAD AIRPORT ,410,5000,5500,7000,16500
BHUJ,AHMEDABAD AIRPORT ,345,4200,4500,5500,14500
NAKHATRANA,AHMEDABAD AIRPORT ,400,6000,6500,8000,16000
KERA,AHMEDABAD AIRPORT ,360,4500,5000,6000,16500
BALDIA,AHMEDABAD AIRPORT ,360,4500,5000,6000,16500
NARANPAR,AHMEDABAD AIRPORT ,360,4500,5000,6000,16500
RAMPAR VEKRA,AHMEDABAD AIRPORT ,360,4500,5000,6000,16500
NARAYAN SAROVAR,AHMEDABAD AIRPORT ,525,7000,7500,9000,22000
MATANAMADH,AHMEDABAD AIRPORT ,450,7000,7500,9000,16000
KANDLA AIRPORT,BHUJ,60,1600,1800,2500,4500
KANDLA AIRPORT,GANDHIDHAM,10,1000,1200,1800,2500
KANDLA AIRPORT,ANJAR,15,1000,1200,1800,2500
KANDLA AIRPORT,MUNDRA,50,1600,1800,2500,4500
KANDLA AIRPORT,AHMEDABAD AIRPORT ,300,3800,4200,5500,10500
KANDLA AIRPORT,AHMEDABAD ,300,3800,4200,5500,10500
KANDLA AIRPORT,RAJKOT,180,3200,3500,4500,7500
KANDLA AIRPORT,RAJKOT AIRPORT,210,3200,3500,4500,7500
KANDLA AIRPORT,MUMBAI,800,10500,11000,14000,22000
KANDLA AIRPORT,VADODARA ,430,5300,5500,7000,13000
KANDLA AIRPORT,PALANPUR ,325,4500,5000,6000,10000
KANDLA AIRPORT,MANDVI,100,2200,2500,3500,5500
KANDLA AIRPORT,DWARKA,450,6000,6500,8500,13500
KANDLA AIRPORT,SOMNATH,450,6000,6500,8500,13500
KANDLA AIRPORT,SURAT,550,7000,7500,9000,14000
KANDLA AIRPORT,ANAND,380,4800,5000,6000,10000
KANDLA AIRPORT,NADIYAD,365,4800,5000,6000,10000
KANDLA AIRPORT,DHOLAVIRA,200,4500,4800,6500,10000
KANDLA AIRPORT,NARAYAN SAROVAR,220,4500,4800,6500,10000
KANDLA AIRPORT,MATANAMADH,160,3500,3800,5000,7500
KANDLA AIRPORT,JUNAGADH,350,4500,5000,6000,10000
KANDLA AIRPORT,PUNE,915,13500,14000,18000,27000
KANDLA AIRPORT,KANDLA AIRPORT ,15,1000,1200,1800,2500
KANDLA AIRPORT,AHMEDABAD RAILWAY STATION,300,3800,4200,5500,10500
KANDLA AIRPORT,BHUJ AIPORT,60,1600,1800,2500,4500
KANDLA AIRPORT,BHUJ RAILWAY STATION,60,1600,1800,2500,4500
KANDLA AIRPORT,HIRASAR AIRPORT,210,3200,3500,4500,7500
KANDLA AIRPORT,JAMNAGAR,225,3500,3800,5000,9000
KANDLA AIRPORT,MORBI,160,3200,3500,4500,7500
KANDLA AIRPORT,WANKANER,185,3200,3500,4500,7500
KANDLA AIRPORT,CHOTILA,200,3200,3500,4500,7500
KANDLA AIRPORT,STATUE OF UNITY,500,6500,7000,9000,13000
KANDLA AIRPORT,BHAVNAGAR,390,4500,5000,6000,10000
KANDLA AIRPORT,MOUNT ABU,365,5000,5500,6500,10500
KANDLA AIRPORT,AMBAJI,350,4500,5000,6000,10000
KANDLA AIRPORT,ABU ROAD,355,4500,5000,6000,10000
KANDLA AIRPORT,VERAVAL RAILWAY STATION,450,6000,6500,8500,13500
KANDLA AIRPORT,GANDHIDHAM RAILWAY STATION,10,1000,1200,1800,2500
BHUJ,KANDLA AIRPORT,60,1600,1800,2500,4500
GANDHIDHAM,KANDLA AIRPORT,10,1000,1200,1800,2500
ANJAR,KANDLA AIRPORT,15,1000,1200,1800,2500
MUNDRA,KANDLA AIRPORT,50,1600,1800,2500,4500
AHMEDABAD AIRPORT ,KANDLA AIRPORT,300,3800,4200,5500,10500
AHMEDABAD ,KANDLA AIRPORT,300,3800,4200,5500,10500
RAJKOT,KANDLA AIRPORT,180,3200,3500,4500,7500
RAJKOT AIRPORT,KANDLA AIRPORT,210,3200,3500,4500,7500
MUMBAI,KANDLA AIRPORT,800,10500,11000,14000,22000
VADODARA ,KANDLA AIRPORT,430,5300,5500,7000,13000
PALANPUR ,KANDLA AIRPORT,325,4500,5000,6000,10000
MANDVI,KANDLA AIRPORT,100,2200,2500,3500,5500
DWARKA,KANDLA AIRPORT,450,6000,6500,8500,13500
SOMNATH,KANDLA AIRPORT,450,6000,6500,8500,13500
SURAT,KANDLA AIRPORT,550,7000,7500,9000,14000
ANAND,KANDLA AIRPORT,380,4800,5000,6000,10000
NADIYAD,KANDLA AIRPORT,365,4800,5000,6000,10000
DHOLAVIRA,KANDLA AIRPORT,200,4500,4800,6500,10000
NARAYAN SAROVAR,KANDLA AIRPORT,220,4500,4800,6500,10000
MATANAMADH,KANDLA AIRPORT,160,3500,3800,5000,7500
JUNAGADH,KANDLA AIRPORT,350,4500,5000,6000,10000
PUNE,KANDLA AIRPORT,915,13500,14000,18000,27000
KANDLA AIRPORT ,KANDLA AIRPORT,15,1000,1200,1800,2500
AHMEDABAD RAILWAY STATION,KANDLA AIRPORT,300,3800,4200,5500,10500
BHUJ AIPORT,KANDLA AIRPORT,60,1600,1800,2500,4500
BHUJ RAILWAY STATION,KANDLA AIRPORT,60,1600,1800,2500,4500
HIRASAR AIRPORT,KANDLA AIRPORT,210,3200,3500,4500,7500
JAMNAGAR,KANDLA AIRPORT,225,3500,3800,5000,9000
MORBI,KANDLA AIRPORT,160,3200,3500,4500,7500
WANKANER,KANDLA AIRPORT,185,3200,3500,4500,7500
CHOTILA,KANDLA AIRPORT,200,3200,3500,4500,7500
STATUE OF UNITY,KANDLA AIRPORT,500,6500,7000,9000,13000
BHAVNAGAR,KANDLA AIRPORT,390,4500,5000,6000,10000
MOUNT ABU,KANDLA AIRPORT,365,5000,5500,6500,10500
AMBAJI,KANDLA AIRPORT,350,4500,5000,6000,10000
ABU ROAD,KANDLA AIRPORT,355,4500,5000,6000,10000
VERAVAL RAILWAY STATION,KANDLA AIRPORT,450,6000,6500,8500,13500
GANDHIDHAM RAILWAY STATION,KANDLA AIRPORT,10,1000,1200,1800,2500
